"date","theme","topic","index_within_date","new_word","theme_upper","category","content_length"
2020-04-18,"CITIZENS"," EoI cum Bid Document for Procurement of Medical Oxygen Cylinder on urgent basis during COVID 19 situation.pdf",2," EoI cum Bid Document for Procurement of Medical Oxygen Cylinder on urgent basis during COVID 19 situation","CITIZENS","CITIZENS",17
2020-04-18,"HOSPITALS"," Advisory against spraying of disinfectant on people for COVID-19 management.pdf",1," Advisory against spraying of disinfectant on people for COVID-19 management","HOSPITALS","HOSPITALS",10
2020-04-18,"HOSPITALS"," Modification in Medicine List in Telemedicine Practice Guidelines.pdf",2," Modification in Medicine List in Telemedicine Practice Guidelines","HOSPITALS","HOSPITALS",8
2020-04-18,"OFFICIAL"," Advisory against spraying of disinfectant on people for COVID-19 management.pdf",1," Advisory against spraying of disinfectant on people for COVID-19 management","OFFICIAL","OFFICIAL",10
2020-04-19,"INSPIRATIONAL"," Not to discriminate against service providers.jfif",1," Not to discriminate against service providers","INSPIRATIONAL","OTHERS",6
2020-04-19,"INSPIRATIONAL"," Stigmatization against Covid Warriors( Hindi).jfif",2," Stigmatization against Covid Warriors( Hindi)","INSPIRATIONAL","OTHERS",5
2020-04-20,"HOSPITALS"," Guidelines to be followed on detection of suspect or confirmed COVID19 case in a non COVID Health Facility.pdf",1," Guidelines to be followed on detection of suspect or confirmed COVID19 case in a non COVID Health Facility","HOSPITALS","HOSPITALS",18
2020-04-20,"INSPIRATIONAL"," Support to healthcare workers.jfif",1," Support to healthcare workers","INSPIRATIONAL","OTHERS",4
2020-04-20,"OFFICIAL"," Directions from Ministry of Home Affairs to State for promotion of Voluntary Blood Donation.pdf",1," Directions from Ministry of Home Affairs to State for promotion of Voluntary Blood Donation","OFFICIAL","OFFICIAL",14
2020-04-20,"OFFICIAL"," Guidelines to be followed on detection of suspect or confirmed COVID-19 case in a non-COVID Health Facility.pdf",2," Guidelines to be followed on detection of suspect or confirmed COVID-19 case in a non-COVID Health Facility","OFFICIAL","OFFICIAL",17
2020-04-20,"OFFICIAL"," Hon'ble HFM Letter to States or UT's regarding Blood & Blood Disorders.pdf",3," Hon'ble HFM Letter to States or UT's regarding Blood & Blood Disorders","OFFICIAL","OFFICIAL",12
2020-04-21,"INSPIRATIONAL"," Thank you healthcare workers( Hindi).jfif",1," Thank you healthcare workers( Hindi)","INSPIRATIONAL","OTHERS",5
